category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
Public-Service,Utica (NY) Observer-Dispatch,Utica Daily Press,Utica (NY) Observer-Dispatch and Utica Daily Press,1959,yes,,,y,
Local-Reporting;-Edition-Time,Providence Journal and Evening Bulletin,,Editorial Staff,1953,yes,,,,
Public-Service,The Miami Herald,Brooklyn Eagle,Miami Herald and Brooklyn Eagle,1951,yes,,,y,
Feature-Photography,Louisville Courier-Journal,,Photographic Staff,1976,yes,,,,
Local-General-or-Spot-News-Reporting,Xenia (OH) Daily Gazette,,Staff,1975,yes,,,,
Public-Service,Winston-Salem (NC) Journal and Sentinel,,Winston-Salem (NC) Journal and Sentinel,1971,yes,,,,
Public-Service,"Whiteville News Reporter, Tabor City Tribune",,"Whiteville News Reporter, Tabor City Tribune",1953,yes,,,,
Public-Service,Watsonville (CA) Register-Pajaronian,,Watsonville (CA) Register-Pajaronian,1956,yes,,,,
Public-Service,Waterbury (CT) Republican & American,,Waterbury (CT) Republican & American,1940,yes,,,,
Public-Service,Washington (NC) Daily News,,Washington (NC) Daily News,1990,yes,,,,
Local-Reporting;-Edition-Time,Vicksburg (MS) Sunday Post-Herald,,Staff,1954,yes,,,,
Public-Service,The Washington Post,,The Washington Post,2014,yes,,,,
Public-Service,The Washington Post,,The Washington Post,2008,yes,,,,
Public-Service,The Washington Post,,The Washington Post,1999,yes,,,,
Public-Service,The Washington Post,,The Washington Post,1973,yes,,,,
Breaking-News-Reporting,The Washington Post,,Staff,2008,yes,,,,
National-Reporting,The Washington Post,,Staff,2002,yes,,,,
Public-Service,The Wall Street Journal,,The Wall Street Journal,2007,yes,,,,
Breaking-News-Reporting,The Wall Street Journal,,Staff,2002,yes,,,,
Explanatory-Reporting,The Wall Street Journal,,Staff,2003,yes,,,,
International-Reporting,The Wall Street Journal,,Staff,2007,yes,,,,
International-Reporting,The Wall Street Journal,,Staff,1999,yes,,,,
Investigative-Reporting,The Wall Street Journal,,Staff,2015,yes,,,,
National-Reporting,The Wall Street Journal,,Staff,2000,yes,,,,
National-Reporting,The Wall Street Journal,,Staff,1997,yes,,,,
Public-Service,The Virgin Islands Daily News,,The Virgin Islands Daily News,1995,yes,,,,
Breaking-News-Reporting,The Tuscaloosa (Ala.) News,,Staff,2012,yes,,,,
Spot-News-Photography,The Tribune,,Photo Staff,1990,yes,,,,
Public-Service,The Times-Picayune,,The Times-Picayune,2006,yes,,,,
Public-Service,The Times-Picayune,,The Times-Picayune,1997,yes,,,,
Breaking-News-Reporting,The Times-Picayune,,Staff,2006,yes,,,,
Local-Investigative-Specialized-Reporting,The Sun Newspapers of Omaha,,Staff,1973,yes,,,,
Breaking-News-Reporting,The Star-Ledger,,Staff,2005,yes,,,,
Breaking-News-Reporting,The Seattle Times,,Staff,2015,yes,,,,
Breaking-News-Reporting,The Seattle Times,,Staff,2010,yes,,,,
Public-Service,The Scranton Times,,The Scranton Times,1946,yes,,,,
Public-Service,The Sacramento (CA) Bee,,The Sacramento (CA) Bee,1992,yes,,,,
Public-Service,The Sacramento (CA) Bee,,The Sacramento (CA) Bee,1935,yes,,,,
Spot-News-Photography,The Register,,Photography Staff,1985,yes,,,,
Public-Service,The Post and Courier,,The Post and Courier,2015,yes,,,,
Public-Service,The Pittsburgh Press,,The Pittsburgh Press,1987,yes,,,,
Public-Service,The Philadelphia Inquirer,,The Philadelphia Inquirer,2012,yes,,,,
Public-Service,The Philadelphia Inquirer,,The Philadelphia Inquirer,1978,yes,,,,
Local-General-or-Spot-News-Reporting,The Philadelphia Inquirer,,Staff,1980,yes,,,,
Public-Service,The Philadelphia Inquirer,,Staff,1990,yes,,,,
Local-Reporting,The Patriot-News,,Staff,2012,yes,,,,
Public-Service,The Oregonian,,The Oregonian,2001,yes,,,,
Breaking-News-Reporting,The Oregonian,,Staff,2007,yes,,,,
Editorial-Writing,The Oregonian,,Editorial Staff,2014,yes,,,,
Investigative-Reporting,The Orange County Register,,Staff,1996,yes,,,,
Public-Service,The New York Times,,The New York Times,2002,yes,,,,
Public-Service,The New York Times,,The New York Times,1972,yes,,,,
Public-Service,The New York Times,,The New York Times,1944,yes,,,,
Public-Service,The New York Times,,The New York Times,1918,yes,,,,
Explanatory-Reporting,The New York Times,,staff,2010,yes,,,,
Breaking-News-Photography,The New York Times,,Staff,2002,yes,,,,
Breaking-News-Reporting,The New York Times,,Staff,2009,yes,,,,
Explanatory-Journalism,The New York Times,,Staff,1986,yes,,,,
Explanatory-Reporting,The New York Times,,Staff,2013,yes,,,,
Explanatory-Reporting,The New York Times,,Staff,2002,yes,,,,
Feature-Photography,The New York Times,,Staff,2002,yes,,,,
International-Reporting,The New York Times,,Staff,2015,yes,,,,
International-Reporting,The New York Times,,Staff,2009,yes,,,,
International-Reporting,The New York Times,,Staff,1998,yes,,,,
International-Reporting,The New York Times,,Staff,1958,yes,,,,
National-Reporting,The New York Times,,Staff,2010,yes,,,,
National-Reporting,The New York Times,,Staff,2001,yes,,,,
National-Reporting,The New York Times,,Staff,1999,yes,,,,
National-Reporting,The New York Times,,Staff,1987,yes,,,,
Spot-News-Reporting,The New York Times,,Staff,1994,yes,,,,
Public-Service,The Milwaukee Journal,,The Milwaukee Journal,1919,yes,,,,
Public-Service,The Miami Herald,,The Miami Herald,1993,yes,,,,
Breaking-News-Reporting,The Miami Herald,,Staff,2001,yes,,,,
Investigative-Reporting,The Miami Herald,,Staff,1999,yes,,,,
Spot-News-Reporting,The Miami Herald,,Staff,1991,yes,,,,
Editorial-Writing,The Miami Herald,,Miami Herald Editorial Board,1983,yes,,,,
Public-Service,The Indianapolis Times,,The Indianapolis Times,1928,yes,,,,
Public-Service,The Guardian US,,The Guardian US,2014,yes,,,,
Breaking-News-Reporting,The Eagle-Tribune,,Staff,2003,yes,,,,
Public-Service,The Detroit News,,The Detroit News,1982,yes,,,,
Public-Service,The Denver Post,,The Denver Post,1986,yes,,,,
Breaking-News-Reporting,The Denver Post,,Staff,2013,yes,,,,
Breaking-News-Reporting,The Denver Post,,Staff,2000,yes,,,,
Breaking-News-Photography,The Dallas Morning News,,Staff,2006,yes,,,,
Public-Service,The Charlotte Observer,,The Charlotte Observer,1988,yes,,,,
Public-Service,The Boston Post,,The Boston Post,1921,yes,,,,
Editorial-Writing,The Boston Herald,,The Boston Herald,1924,yes,,,,
Public-Service,The Boston Globe,,The Boston Globe,2003,yes,,,,
Public-Service,The Boston Globe,,The Boston Globe,1975,yes,,,,
Public-Service,The Boston Globe,,The Boston Globe,1966,yes,,,,
Breaking-News-Reporting,The Boston Globe,,Staff,2014,yes,,,,
National-Reporting,The Boston Globe,,Staff,1983,yes,,,,
Public-Service,The Atlanta Constitution,,The Atlanta Constitution,1931,yes,,,,
General-News-Reporting,The Alabama Journal,,Staff,1988,yes,,,,
Public-Service,Sun Sentinel,,Sun Sentinel,2013,yes,,,,
Public-Service,Sun Herald,,Sun Herald,2006,yes,,,,
National-Reporting,St. Petersburg (FL) Times,,Staff,2009,yes,,,,
Public-Service,St. Petersburg (FL) Times,,St. Petersburg (FL) Times,1964,yes,,,,
Breaking-News-Photography,St. Louis Post-Dispatch,,Staff,2015,yes,,,,
Public-Service,St. Louis Post-Dispatch,,St. Louis Post-Dispatch,1952,yes,,,,
Public-Service,St. Louis Post-Dispatch,,St. Louis Post-Dispatch,1948,yes,,,,
Public-Service,St. Louis Post-Dispatch,,St. Louis Post-Dispatch,1941,yes,,,,
Public-Service,St. Louis Post-Dispatch,,St. Louis Post-Dispatch,1937,yes,,,,
General-News-Reporting,San Jose (CA) Mercury News,,Staff,1990,yes,,,,
Local-General-or-Spot-News-Reporting,San Diego (CA) Evening Tribune,,Staff,1979,yes,,,,
Local-Reporting;-Edition-Time,Salt Lake (UT) Tribune,,Staff,1957,yes,,,,
Breaking-News-Photography,Rocky Mountain News,,Photography Staff,2003,yes,,,,
Breaking-News-Photography,Rocky Mountain News,,Photo Staff,2000,yes,,,,
Public-Service,Riverside (CA) Press-Enterprise,,Riverside (CA) Press-Enterprise,1968,yes,,,,
Investigative-Reporting,Providence Journal and Evening Bulletin,,Staff,1994,yes,,,,
Public-Service,Point Reyes Light,,Point Reyes Light,1979,yes,,,,
Public-Service,Panama City (FL) News-Herald,,Panama City (FL) News-Herald,1962,yes,,,,
Public-Service,Omaha (NE) World-Herald,,Omaha (NE) World-Herald,1943,yes,,,,
Spot-News-Reporting,Newsday,,Staff,1997,yes,,,,
Spot-News-Reporting,Newsday,,Staff,1992,yes,,,,
Local-General-or-Spot-News-Reporting,Newsday,,Newsday team of reporters,1984,yes,,,,
Public-Service,Newsday,,Newsday,1974,yes,,,,
Public-Service,Newsday,,Newsday,1970,yes,,,,
Public-Service,Newsday,,Newsday,1954,yes,,,,
Public-Service,New York World-Telegram,,New York World-Telegram,1933,yes,,,,
Public-Service,New York World,,New York World,1924,yes,,,,
Public-Service,New York World,,New York World,1922,yes,,,,
Editorial-Writing,New York Tribune,,New York Tribune,1917,yes,,,,
Public-Service,New York Evening World,,New York Evening World,1929,yes,,,,
Photography,New York Daily News,,Staff,1956,yes,,,,
Public-Service,Nebraska State Journal,,Nebraska State Journal,1949,yes,,,,
Public-Service,The Milwaukee Journal,,Milwaukee Journal,1967,yes,,,,
National-Reporting,The Miami Herald,,Staff,1987,yes,,,,
Public-Service,Miami Daily News,,Miami Daily News,1939,yes,,,,
Public-Service,Memphis Commercial Appeal,,Memphis Commercial Appeal,1923,yes,,,,
Public-Service,Medford (OR) Mail Tribune,,Medford (OR) Mail Tribune,1934,yes,,,,
Public-Service,Lufkin (TX) News,,Lufkin (TX) News,1977,yes,,,,
General-News-Reporting,Louisville Courier-Journal,,Staff,1989,yes,,,,
Public-Service,Louisville Courier-Journal,,Staff,1967,yes,,,,
Editorial-Writing,Louisville Courier-Journal,,Louisville Courier Journal,1918,yes,,,,
Breaking-News-Reporting,Los Angeles Times,,Staff,2004,yes,,,,
Breaking-News-Reporting,Los Angeles Times,,Staff,1998,yes,,,,
Local-General-or-Spot-News-Reporting,Los Angeles Times,,Staff,1966,yes,,,,
National-Reporting,Los Angeles Times,,Staff,2004,yes,,,,
Spot-News-Reporting,Los Angeles Times,,Staff,1995,yes,,,,
Spot-News-Reporting,Los Angeles Times,,Staff,1993,yes,,,,
Public-Service,Los Angeles Times,,Los Angeles Times,2011,yes,,,,
Public-Service,Los Angeles Times,,Los Angeles Times,2005,yes,,,,
Public-Service,Los Angeles Times,,Los Angeles Times,1984,yes,,,,
Public-Service,Los Angeles Times,,Los Angeles Times,1969,yes,,,,
Public-Service,Los Angeles Times,,Los Angeles Times,1960,yes,,,,
Public-Service,Los Angeles Times,,Los Angeles Times,1942,yes,,,,
Local-General-or-Spot-News-Reporting,Longview (WA) Daily News,,Staff,1981,yes,,,,
General-News-Reporting,Lawrence (MA) Eagle-Tribune,,Staff,1988,yes,,,,
Local-General-or-Spot-News-Reporting,The Kansas City Star,,Staff,1982,yes,,,,
Editorial-Writing,Kansas City (MO) Star,,Kansas City (MO) Star,1933,yes,,,,
Public-Service,Jackson (MS) Clarion-Ledger,,Jackson (MS) Clarion-Ledger,1983,yes,,,,
Local-Investigative-Specialized-Reporting,The Indianapolis Star,,Staff,1975,yes,,,,
Public-Service,Indianapolis News,,Indianapolis News,1932,yes,,,,
Public-Service,Hutchinson (KS) News,,Hutchinson (KS) News,1965,yes,,,,
Breaking-News-Reporting,Hartford (CT) Courant,,Staff,1999,yes,,,,
Public-Service,Grand Forks (ND) Herald,,Grand Forks (ND) Herald,1998,yes,,,,
Public-Service,Gannett News Service,,Gannett News Service,1980,yes,,,,
