name,gender,gender_add,year,category,publication,publication2,organizational,first_name,mutiple org,note
Caryle Murphy,andy,female,1991,International-Reporting,The Washington Post,,no,Caryle,,
E.R. Shipp,andy,female,1996,Commentary,New York Daily News,,no,E.R.,,
Jackie Crosby,andy,female,1985,Specialized-Reporting,Macon (GA) Telegraph and News,,no,Jackie,,
Jo Becker,andy,female,2008,National-Reporting,The Washington Post,,no,Jo,,
Marjie Lundstrom,andy,female,1991,National-Reporting,Gannett News Service,,no,Marjie,,
Paige St. John,andy,female,2011,Investigative-Reporting,Sarasota Herald-Tribune,,no,Paige,,
Ren_e C. Byer,andy,female,2007,Feature-Photography,The Sacramento Bee,,no,Ren_e,,
Ada Louise Huxtable,female,female,1970,Criticism,The New York Times,,no,Ada,,
Alejandra Xanic von Bertrab,female,female,2013,Investigative-Reporting,The New York Times,,no,Alejandra,,
Alexandra Berzon,female,female,2009,Public-Service,Las Vegas Sun,,no,Alexandra,,
Alice Steinbach,female,female,1985,Feature-Writing,The Baltimore Sun,,no,Alice,,
Alison Sherwood,female,female,2011,Explanatory-Reporting,Milwaukee Journal Sentinel,,no,Alison,,
Alix M. Freedman,female,female,1996,National-Reporting,The Wall Street Journal,,no,Alix,,
Amy Dockser Marcus,female,female,2005,Beat-Reporting,The Wall Street Journal,,no,Amy,,
Amy Ellis Nutt,female,female,2011,Feature-Writing,The Star-Ledger,,no,Amy,,
Amy Harmon,female,female,2008,Explanatory-Reporting,The New York Times,,no,Amy,,
Andrea Elliott,female,female,2007,Feature-Writing,The New York Times,,no,Andrea,,
Ann Desantis,female,female,1972,Local-Investigative-Specialized-Reporting,The Boston Globe,,no,Ann,,
Ann Marie Lipinski,female,female,1988,Investigative-Reporting,Chicago Tribune,,no,Ann,,
Ann Telnaes,female,female,2001,Editorial-Cartooning,Tribune Media Services,,no,Ann,,
Anna Quindlen,female,female,1992,Commentary,The New York Times,,no,Anna,,
Anne O'Hare McCormick,female,female,1937,Correspondence,The New York Times,,no,Anne,,
Annie Wells,female,female,1997,Spot-News-Photography,The Press Democrat,,no,Annie,,
April Saul,female,female,1997,Explanatory-Journalism,The Philadelphia Inquirer,,no,April,,
Barbara Davidson,female,female,2011,Feature-Photography,Los Angeles Times,,no,Barbara,,
Barbara Laker,female,female,2010,Investigative-Reporting,The Philadelphia Daily News,,no,Barbara,,
Bette Swenson Orsini,female,female,1980,National-Reporting,St. Petersburg (FL) Times,,no,Bette,,
Bettina Boxall,female,female,2009,Explanatory-Reporting,Los Angeles Times,,no,Bettina,,
Beverly Weintraub,female,female,2007,Editorial-Writing,New York Daily News,,no,Beverly,,
Caro Brown,female,female,1955,Local-Reporting;-Edition-Time,Alice (TX) Daily Echo,,no,Caro,,
Carol D. Leonnig,female,female,2015,National-Reporting,The Washington Post,,no,Carol,,
Carol Guzy,female,female,1986,Spot-News-Photography,The Miami Herald,,no,Carol,,
