category,publication,name,year
Beat-Reporting,The Washington Post,Dana Priest,2006
Beat-Reporting,The Wall Street Journal,Amy Dockser Marcus,2005
Beat-Reporting,The Wall Street Journal,Daniel Golden,2004
Beat-Reporting,The Baltimore Sun,Diana K. Sugg,2003
Beat-Reporting,The New York Times,Gretchen Morgenson,2002
Beat-Reporting,The New York Times,David Cay Johnston,2001
Beat-Reporting,St. Paul Pioneer Press,George Dohrmann,2000
Beat-Reporting,Los Angeles Times,Michael A. Hiltzik,1999
Beat-Reporting,Los Angeles Times,Chuck Philips,1999
Beat-Reporting,The New York Times,Linda Greenhouse,1998
Beat-Reporting,The Seattle Times,Byron Acohido,1997
Beat-Reporting,Newsday,Bob Keeler,1996
Beat-Reporting,The Boston Globe,David Shribman,1995
Beat-Reporting,The Detroit News,Jim Mitzelfeld,1994
Beat-Reporting,The Detroit News,Eric Freedman,1994
Beat-Reporting,The Wall Street Journal,Joseph B. White,1993
Beat-Reporting,The Wall Street Journal,Paul Ingrassia,1993
Beat-Reporting,The Sacramento (CA) Bee,Deborah Blum,1992
Beat-Reporting,The New York Times,Natalie Angier,1991
Breaking-News-Photography,St. Louis Post-Dispatch,Staff,2015
Breaking-News-Photography,The New York Times,Tyler Hicks,2014
Breaking-News-Photography,Associated Press,Muhammed Muheisen,2013
Breaking-News-Photography,Associated Press,Khalil Hamra,2013
Breaking-News-Photography,Associated Press,Narciso Contreras,2013
Breaking-News-Photography,Associated Press,Manu Brabo,2013
Breaking-News-Photography,Associated Press,Rodrigo Abd,2013
Breaking-News-Photography,Agence France-Presse,Massoud Hossaini,2012
Breaking-News-Photography,The Washington Post,Ricky Carioti,2011
Breaking-News-Photography,The Washington Post,Nikki Kahn,2011
Breaking-News-Photography,The Washington Post,Carol Guzy,2011
Breaking-News-Photography,The Des Moines Register,Mary Chind,2010
Breaking-News-Photography,The Miami Herald,Patrick Farrell,2009
Breaking-News-Photography,Reuters,Adrees Latif,2008
Breaking-News-Photography,Associated Press,Oded Balilty,2007
Breaking-News-Photography,The Dallas Morning News,Staff,2006
Breaking-News-Photography,Associated Press,Staff,2005
Breaking-News-Photography,The Dallas Morning News,Cheryl Diaz Meyer,2004
Breaking-News-Photography,The Dallas Morning News,David Leeson,2004
Breaking-News-Photography,Rocky Mountain News,Photography Staff,2003
Breaking-News-Photography,The New York Times,Staff,2002
Breaking-News-Photography,Associated Press,Alan Diaz,2001
Breaking-News-Photography,Rocky Mountain News,Photo Staff,2000
Breaking-News-Reporting,The Seattle Times ,Staff,2015
Breaking-News-Reporting,The Boston Globe,Staff,2014
Breaking-News-Reporting,The Denver Post,Staff,2013
Breaking-News-Reporting,The Tuscaloosa (Ala.) News,Staff,2012
Breaking-News-Reporting,No Award,No award,2011
Breaking-News-Reporting,The Seattle Times,Staff,2010
Breaking-News-Reporting,The New York Times,Staff,2009
Breaking-News-Reporting,The Washington Post,Staff,2008
Breaking-News-Reporting,The Oregonian,Staff,2007
Breaking-News-Reporting,The Times-Picayune,Staff,2006
Breaking-News-Reporting,The Star-Ledger,Staff,2005
Breaking-News-Reporting,Los Angeles Times,Staff,2004
Breaking-News-Reporting,The Eagle-Tribune,Staff,2003
Breaking-News-Reporting,The Wall Street Journal,Staff,2002
Breaking-News-Reporting,The Miami Herald,Staff,2001
Breaking-News-Reporting,The Denver Post,Staff,2000
Breaking-News-Reporting,Hartford (CT) Courant,Staff,1999
Breaking-News-Reporting,Los Angeles Times,Staff,1998
Commentary,Houston Chronicle,Lisa Falkenberg,2015
Commentary,Detroit Free Press,Stephen Henderson,2014
Commentary,The Wall Street Journal,Bret Stephens,2013
Commentary,the Chicago Tribune,Mary Schmich,2012
Commentary,The New York Times,David Leonhardt,2011
Commentary,The Washington Post,Kathleen Parker,2010
Commentary,The Washington Post,Eugene Robinson,2009
Commentary,The Washington Post,Steven Pearlstein,2008
Commentary,The Atlanta Journal-Constitution,Cynthia Tucker,2007
Commentary,The New York Times,Nicholas D. Kristof,2006
