,name,gender_add,year,category,publication
0,Caryle Murphy,female,1991,International-Reporting,The Washington Post
1,E.R. Shipp,female,1996,Commentary,New York Daily News
2,Jackie Crosby,female,1985,Specialized-Reporting,Macon (GA) Telegraph and News
3,Jo Becker,female,2008,National-Reporting,The Washington Post
4,Marjie Lundstrom,female,1991,National-Reporting,Gannett News Service
5,Paige St. John,female,2011,Investigative-Reporting,Sarasota Herald-Tribune
6,Ren_e C. Byer,female,2007,Feature-Photography,The Sacramento Bee
7,Ada Louise Huxtable,female,1970,Criticism,The New York Times
8,Alejandra Xanic von Bertrab,female,2013,Investigative-Reporting,The New York Times
9,Alexandra Berzon,female,2009,Public-Service,Las Vegas Sun
10,Alice Steinbach,female,1985,Feature-Writing,The Baltimore Sun
11,Alison Sherwood,female,2011,Explanatory-Reporting,Milwaukee Journal Sentinel
12,Alix M. Freedman,female,1996,National-Reporting,The Wall Street Journal
13,Amy Dockser Marcus,female,2005,Beat-Reporting,The Wall Street Journal
14,Amy Ellis Nutt,female,2011,Feature-Writing,The Star-Ledger
15,Amy Harmon,female,2008,Explanatory-Reporting,The New York Times
16,Andrea Elliott,female,2007,Feature-Writing,The New York Times
17,Ann Desantis,female,1972,Local-Investigative-Specialized-Reporting,The Boston Globe
18,Ann Marie Lipinski,female,1988,Investigative-Reporting,Chicago Tribune
19,Ann Telnaes,female,2001,Editorial-Cartooning,Tribune Media Services
20,Anna Quindlen,female,1992,Commentary,The New York Times
21,Anne O'Hare McCormick,female,1937,Correspondence,The New York Times
22,Annie Wells,female,1997,Spot-News-Photography,The Press Democrat
23,April Saul,female,1997,Explanatory-Journalism,The Philadelphia Inquirer
24,Barbara Davidson,female,2011,Feature-Photography,Los Angeles Times
25,Barbara Laker,female,2010,Investigative-Reporting,The Philadelphia Daily News
26,Bette Swenson Orsini,female,1980,National-Reporting,St. Petersburg (FL) Times
27,Bettina Boxall,female,2009,Explanatory-Reporting,Los Angeles Times
28,Beverly Weintraub,female,2007,Editorial-Writing,New York Daily News
29,Caro Brown,female,1955,Local-Reporting;-Edition-Time,Alice (TX) Daily Echo
30,Carol D. Leonnig,female,2015,National-Reporting,The Washington Post
31,Carol Guzy,female,1986,Spot-News-Photography,The Miami Herald
32,Carolyn Cole,female,2004,Feature-Photography,Los Angeles Times
33,Cheryl Diaz Meyer,female,2004,Breaking-News-Photography,The Dallas Morning News
34,Colleen McCain Nelson,female,2010,Editorial-Writing,The Dallas Morning News
35,Connie Schultz,female,2005,Commentary,The Plain Dealer
36,Cornelia Grumman,female,2003,Editorial-Writing,Chicago Tribune
37,Cynthia Tucker,female,2007,Commentary,The Atlanta Journal-Constitution
38,Dana Priest,female,2006,Beat-Reporting,The Washington Post
39,Deanne Fitzmaurice,female,2005,Feature-Photography,San Francisco Chronicle
40,Debbie Cenziper,female,2007,Local-Reporting,The Miami Herald
41,Deborah Blum,female,1992,Beat-Reporting,The Sacramento (CA) Bee
42,Deborah Nelson,female,1997,Investigative-Reporting,The Seattle Times
43,Diana K. Sugg,female,2003,Beat-Reporting,The Baltimore Sun
44,Diana Marcum,female,2015,Feature-Writing,Los Angeles Times
45,Dorothy Rabinowitz,female,2001,Commentary,The Wall Street Journal
46,Edna Buchanan,female,1986,General-News-Reporting,The Miami Herald
47,Eileen McNamara,female,1997,Commentary,The Boston Globe
48,Eileen Sullivan,female,2012,Investigative-Reporting,Associated Press
49,Eileen Welsome,female,1994,National-Reporting,Albuquerque Tribune
50,Eli Sanders,female,2012,Feature-Writing,The Stranger
51,Eli Saslow,female,2014,Explanatory-Reporting,The Washington Post
52,Elizabeth McGowan,female,2013,National-Reporting,InsideClimate News
53,Ellen Barry,female,2011,International-Reporting,The New York Times
54,Ellen H. Goodman,female,1980,Commentary,The Boston Globe
55,Emily Genauer,female,1974,Criticism,Newsday Syndicate
56,Gail Caldwell,female,2001,Criticism,The Boston Globe
57,Gretchen Morgenson,female,2002,Beat-Reporting,The New York Times
58,Hazel Brannon Smith,female,1964,Editorial-Writing,Lexington (MS) Advertiser
59,Heidi Evans,female,2007,Editorial-Writing,New York Daily News
60,Inga Saffron,female,2014,Criticism,The Philadelphia Inquirer
61,Ira B. Harkey,female,1963,Editorial-Writing,Pascagoula (MS) Chronicle
62,Ira Wolfert,female,1943,Telegraphic-Reporting-(International),"North American Newspaper Alliance, Inc."
63,Isabel Wilkerson,female,1994,Feature-Writing,The New York Times
64,Jacqui Banaszynski,female,1988,Feature-Writing,St. Paul Pioneer Press
65,Jane Healy,female,1988,Editorial-Writing,Orlando Sentinel
66,Joan Fitz Gerald,female,1984,Local-Investigative-Specialized-Reporting,The Boston Globe
67,Joan Vennochi,female,1980,Local-Investigative-Specialized-Reporting,The Boston Globe
68,Julia Keller,female,2005,Feature-Writing,Chicago Tribune
69,Julie Cart,female,2009,Explanatory-Reporting,Los Angeles Times
70,Karen Blessen,female,1989,Explanatory-Journalism,The Dallas Morning News
71,Karen Elliott House,female,1984,International-Reporting,The Wall Street Journal
72,Katherine Boo,female,2000,Public-Service,The Washington Post
73,Katherine Ellison,female,1986,International-Reporting,San Jose (CA) Mercury News
74,Kathleen Gallagher,female,2011,Explanatory-Reporting,Milwaukee Journal Sentinel
75,Kathleen Kingsbury,female,2015,Editorial-Writing,The Boston Globe
76,Kathleen Parker,female,2010,Commentary,The Washington Post
77,Kim Komenich,female,1987,Spot-News-Photography,San Francisco Examiner
78,Kim Murphy,female,2005,International-Reporting,Los Angeles Times
79,Lauren D. Lyman,female,1936,Reporting,The New York Times
80,Lauren K. Soth,female,1956,Editorial-Writing,Register and Tribune
81,Laurence Edmund Allen,female,1942,Telegraphic-Reporting-(International),Associated Press
82,Laurie Garrett,female,1996,Explanatory-Journalism,Newsday
83,Linda Greenhouse,female,1998,Beat-Reporting,The New York Times
84,Lisa Falkenberg,female,2015,Commentary,Houston Chronicle
85,Lisa Pollak,female,1997,Feature-Writing,The Baltimore Sun
86,Lisa Song,female,2013,National-Reporting,InsideClimate News
87,Liz Balmaseda,female,1993,Commentary,The Miami Herald
88,Lois Wille,female,1989,Editorial-Writing,Chicago Tribune
89,Loretta Tofani,female,1983,Local-Investigative-Specialized-Reporting,The Washington Post
90,Lorraine Adams,female,1992,Investigative-Reporting,The Dallas Morning News
91,Lucinda Franks,female,1971,National-Reporting,United Press Internationalcategory
92,Lucy Morgan,female,1985,Investigative-Reporting,St. Petersburg (FL) Times
