category,year,name,publication
Beat-Reporting,2006,Dana Priest,The Washington Post
Beat-Reporting,2005,Amy Dockser Marcus,The Wall Street Journal
Beat-Reporting,2004,Daniel Golden,The Wall Street Journal
Beat-Reporting,2003,Diana K. Sugg,The Baltimore Sun
Beat-Reporting,2002,Gretchen Morgenson,The New York Times
Beat-Reporting,2001,David Cay Johnston,The New York Times
Beat-Reporting,2000,George Dohrmann,St. Paul Pioneer Press
Beat-Reporting,1999,Chuck Philips and Michael A. Hiltzik,Los Angeles Times
Beat-Reporting,1998,Linda Greenhouse,The New York Times
Beat-Reporting,1997,Byron Acohido,The Seattle Times
Beat-Reporting,1996,Bob Keeler,Newsday
Beat-Reporting,1995,David Shribman,The Boston Globe
Beat-Reporting,1994,Eric Freedman and Jim Mitzelfeld,The Detroit News
Beat-Reporting,1993,Paul Ingrassia and Joseph B. White,The Wall Street Journal
Beat-Reporting,1992,Deborah Blum,The Sacramento (CA) Bee
Beat-Reporting,1991,Natalie Angier,The New York Times
Breaking-News-Photography,2015,None,None
Breaking-News-Photography,2014,Tyler Hicks,The New York Times
Breaking-News-Photography,2013,"Rodrigo Abd, Manu Brabo, Narciso Contreras, Khalil Hamra and Muhammed Muheisen",Associated Press
Breaking-News-Photography,2012,Massoud Hossaini,Agence France-Presse
Breaking-News-Photography,2011,"Carol Guzy, Nikki Kahn and Ricky Carioti",The Washington Post
Breaking-News-Photography,2010,Mary Chind,The Des Moines Register
Breaking-News-Photography,2009,Patrick Farrell,The Miami Herald
Breaking-News-Photography,2008,Adrees Latif,Reuters
Breaking-News-Photography,2007,Oded Balilty,Associated Press
Breaking-News-Photography,2006,Staff,The Dallas Morning News
Breaking-News-Photography,2005,Staff,Associated Press
Breaking-News-Photography,2004,David Leeson and Cheryl Diaz Meyer,The Dallas Morning News
Breaking-News-Photography,2003,Photography Staff,Rocky Mountain News
Breaking-News-Photography,2002,Staff,The New York Times
Breaking-News-Photography,2001,Alan Diaz,Associated Press
Breaking-News-Photography,2000,Photo Staff,Rocky Mountain News
Breaking-News-Reporting,2015,The Seattle Times Staff,None
Breaking-News-Reporting,2014,Staff,The Boston Globe
Breaking-News-Reporting,2013,Staff,The Denver Post
Breaking-News-Reporting,2012,The Tuscaloosa (Ala.) News Staff,None
Breaking-News-Reporting,2011,No award,None
Breaking-News-Reporting,2010,Staff,The Seattle Times
Breaking-News-Reporting,2009,Staff,The New York Times
Breaking-News-Reporting,2008,Staff,The Washington Post
Breaking-News-Reporting,2007,Staff,The Oregonian
Breaking-News-Reporting,2006,Staff,The Times-Picayune
Breaking-News-Reporting,2005,Staff,The Star-Ledger
Breaking-News-Reporting,2004,Staff,Los Angeles Times
Breaking-News-Reporting,2003,Staff,The Eagle-Tribune
Breaking-News-Reporting,2002,Staff,The Wall Street Journal
Breaking-News-Reporting,2001,Staff,The Miami Herald
Breaking-News-Reporting,2000,Staff,The Denver Post
Breaking-News-Reporting,1999,Staff,Hartford (CT) Courant
Breaking-News-Reporting,1998,Staff,Los Angeles Times
Commentary,2015,None,None
Commentary,2014,Stephen Henderson,Detroit Free Press
Commentary,2013,Bret Stephens,The Wall Street Journal
Commentary,2012,Mary Schmich,the Chicago Tribune
Commentary,2011,David Leonhardt,The New York Times
Commentary,2010,Kathleen Parker,The Washington Post
Commentary,2009,Eugene Robinson,The Washington Post
Commentary,2008,Steven Pearlstein,The Washington Post
Commentary,2007,Cynthia Tucker,The Atlanta Journal-Constitution
Commentary,2006,Nicholas D. Kristof,The New York Times
Commentary,2005,Connie Schultz,The Plain Dealer
Commentary,2004,Leonard Pitts Jr.,The Miami Herald
Commentary,2003,Colbert I. King,The Washington Post
Commentary,2002,Thomas Friedman,The New York Times
Commentary,2001,Dorothy Rabinowitz,The Wall Street Journal
Commentary,2000,Paul A. Gigot,The Wall Street Journal
Commentary,1999,Maureen Dowd,The New York Times
Commentary,1998,Mike McAlary,New York Daily News
Commentary,1997,Eileen McNamara,The Boston Globe
Commentary,1996,E.R. Shipp,New York Daily News
Commentary,1995,Jim Dwyer,Newsday
Commentary,1994,William Raspberry,The Washington Post
Commentary,1993,Liz Balmaseda,The Miami Herald
Commentary,1992,Anna Quindlen,The New York Times
Commentary,1991,Jim Hoagland,The Washington Post
Commentary,1990,Jim Murray,Los Angeles Times
Commentary,1989,Clarence Page,Chicago Tribune
Commentary,1988,Dave Barry,The Miami Herald
Commentary,1987,Charles Krauthammer,The Washington Post Writers Group
Commentary,1986,Jimmy Breslin,New York Daily News
Commentary,1985,Murray Kempton,Newsday
Commentary,1984,Vermont Royster,The Wall Street Journal
Commentary,1983,Claude Sitton,Raleigh (NC) News & Observer
Commentary,1982,Art Buchwald,Los Angeles Times Syndicate
Commentary,1981,Dave Anderson,The New York Times
Commentary,1980,Ellen H. Goodman,The Boston Globe
Commentary,1979,Russell Baker,The New York Times
Commentary,1978,William Safire,The New York Times
Commentary,1977,George F. Will,The Washington Post Writers Group
Commentary,1976,Walter Wellesley (Red) Smith,The New York Times
Commentary,1975,Mary McGrory,The Washington Star
Commentary,1974,Edwin A. Roberts Jr.,National Observer
Commentary,1973,David S. Broder,The Washington Post
Commentary,1972,Mike Royko,Chicago Daily News
Commentary,1971,William A. Caldwell,The Record
Commentary,1970,Marquis W. Childs,St. Louis Post-Dispatch
Correspondence,1947,Brooks Atkinson,The New York Times
Correspondence,1946,Arnaldo Cortesi,The New York Times
Correspondence,1945,Harold V. (Hal) Boyl,Associated Press
Correspondence,1944,Ernest Taylor Pyle,Scripps-Howard Newspaper Alliance
Correspondence,1943,Hanson W. Baldwin,The New York Times
Correspondence,1942,Carlos P. Romulo,Philippines Herald
Correspondence,1941,Group Award,None
Correspondence,1940,Otto D. Tolischus,The New York Times
Correspondence,1939,Louis P. Lochner,Associated Press
Correspondence,1938,Arthur Krock,The New York Times
Correspondence,1937,Anne O'Hare McCormick,New York Times
Correspondence,1936,None,None
Correspondence,1935,Arthur Krock,The New York Times
Correspondence,1934,Frederick T. Birchall,The New York Times
Correspondence,1933,Edgar Ansel Mowrer,Chicago Daily News
Correspondence,1932,Charles G. Ross,St. Louis Post-Dispatch
Correspondence,1932,Walter Duranty,The New York Times
Correspondence,1931,H. R. Knickerbocker,Philadelphia Public Ledger and New York Evening Post
Correspondence,1930,Leland Stowe,New York Herald Tribune
Correspondence,1929,Paul Scott Mowrer,Chicago Daily News
